"Step","new_test1416 - actor/entropy_loss","new_test1416 - actor/entropy_loss__MIN","new_test1416 - actor/entropy_loss__MAX"
"1","0.17888209302327596","0.17888209302327596","0.17888209302327596"
"2","0.1601011481252499","0.1601011481252499","0.1601011481252499"
"3","0.17078054818557575","0.17078054818557575","0.17078054818557575"
"4","0.18047615751856938","0.18047615751856938","0.18047615751856938"
"5","0.16046011837897822","0.16046011837897822","0.16046011837897822"
"6","0.20517170411767438","0.20517170411767438","0.20517170411767438"
"7","0.16311333881458268","0.16311333881458268","0.16311333881458268"
"8","0.16668358445167542","0.16668358445167542","0.16668358445167542"
"9","0.17137445008847862","0.17137445008847862","0.17137445008847862"
"10","0.16870072484016418","0.16870072484016418","0.16870072484016418"
"11","0.1635935105732642","0.1635935105732642","0.1635935105732642"
"12","0.1769419086049311","0.1769419086049311","0.1769419086049311"
"13","0.19918364603654481","0.19918364603654481","0.19918364603654481"
"14","0.1659489416051656","0.1659489416051656","0.1659489416051656"
"15","0.1733051469491329","0.1733051469491329","0.1733051469491329"
"16","0.16877379835932516","0.16877379835932516","0.16877379835932516"
"17","0.169345179136144","0.169345179136144","0.169345179136144"
"18","0.1659147157915868","0.1659147157915868","0.1659147157915868"
"19","0.17079622749588452","0.17079622749588452","0.17079622749588452"
"20","0.17220805087708868","0.17220805087708868","0.17220805087708868"
"21","0.17396035877754912","0.17396035877754912","0.17396035877754912"
"22","0.17194508016109467","0.17194508016109467","0.17194508016109467"
"23","0.16834838871727698","0.16834838871727698","0.16834838871727698"
"24","0.19152005400974303","0.19152005400974303","0.19152005400974303"
"25","0.17197341777500696","0.17197341777500696","0.17197341777500696"
"26","0.1568631829577498","0.1568631829577498","0.1568631829577498"
"27","0.16619483806425706","0.16619483806425706","0.16619483806425706"
"28","0.15826256849686615","0.15826256849686615","0.15826256849686615"
"29","0.1749044846801553","0.1749044846801553","0.1749044846801553"
"30","0.15934594557620585","0.15934594557620585","0.15934594557620585"
"31","0.16855217225383967","0.16855217225383967","0.16855217225383967"
"32","0.16167386912275106","0.16167386912275106","0.16167386912275106"
"33","0.17236777866492048","0.17236777866492048","0.17236777866492048"
