Step,long_run - critic/grad_norm,long_run - critic/grad_norm__MIN,long_run - critic/grad_norm__MAX
1,3224.865234,3224.865234,3224.865234
2,3140.527099609375,3140.527099609375,3140.527099609375
3,589.0128784179688,589.0128784179688,589.0128784179688
4,1167.2205810546875,1167.2205810546875,1167.2205810546875
5,716.5914306640625,716.5914306640625,716.5914306640625
6,1179.5567626953125,1179.5567626953125,1179.5567626953125
7,915.1400756835938,915.1400756835938,915.1400756835938
8,159.66978454589844,159.66978454589844,159.66978454589844
9,600.61083984375,600.61083984375,600.61083984375
10,1019.1561889648438,1019.1561889648438,1019.1561889648438
11,725.0391235351562,725.0391235351562,725.0391235351562
12,331.86822509765625,331.86822509765625,331.86822509765625
13,775.0830688476562,775.0830688476562,775.0830688476562
14,653.78271484375,653.78271484375,653.78271484375
15,628.870849609375,628.870849609375,628.870849609375
16,513.0001220703125,513.0001220703125,513.0001220703125
17,162.27578735351562,162.27578735351562,162.27578735351562
18,476.2008361816406,476.2008361816406,476.2008361816406
19,800.9702758789062,800.9702758789062,800.9702758789062
20,670.434814453125,670.434814453125,670.434814453125
21,510.45977783203125,510.45977783203125,510.45977783203125
22,138.406982421875,138.406982421875,138.406982421875
23,63.135990142822266,63.135990142822266,63.135990142822266
24,242.93069458007812,242.93069458007812,242.93069458007812
25,342.9039306640625,342.9039306640625,342.9039306640625
26,504.865478515625,504.865478515625,504.865478515625
27,122.44525146484375,122.44525146484375,122.44525146484375
28,101.19007873535156,101.19007873535156,101.19007873535156
29,108.97197723388672,108.97197723388672,108.97197723388672
30,86.93009948730469,86.93009948730469,86.93009948730469
31,80.60653686523438,80.60653686523438,80.60653686523438
32,78.18722534179688,78.18722534179688,78.18722534179688
33,52.38939666748047,52.38939666748047,52.38939666748047
34,264.15350341796875,264.15350341796875,264.15350341796875
35,128.81419372558594,128.81419372558594,128.81419372558594
36,202.8755340576172,202.8755340576172,202.8755340576172
37,135.01109313964844,135.01109313964844,135.01109313964844
38,303.4278869628906,303.4278869628906,303.4278869628906
39,357.32257080078125,357.32257080078125,357.32257080078125
40,214.95834350585938,214.95834350585938,214.95834350585938
41,136.96932983398438,136.96932983398438,136.96932983398438
42,296.57861328125,296.57861328125,296.57861328125
43,212.30001831054688,212.30001831054688,212.30001831054688
44,207.3834228515625,207.3834228515625,207.3834228515625
45,165.65011596679688,165.65011596679688,165.65011596679688
46,210.54405212402344,210.54405212402344,210.54405212402344
47,81.57457733154297,81.57457733154297,81.57457733154297
48,157.96498107910156,157.96498107910156,157.96498107910156
49,49.27582550048828,49.27582550048828,49.27582550048828
50,94.42931365966797,94.42931365966797,94.42931365966797
51,210.5105438232422,210.5105438232422,210.5105438232422
52,267.3028259277344,267.3028259277344,267.3028259277344
53,527.3990478515625,527.3990478515625,527.3990478515625
54,38.40220642089844,38.40220642089844,38.40220642089844
55,104.36881256103516,104.36881256103516,104.36881256103516
56,96.19816589355469,96.19816589355469,96.19816589355469
57,134.08416748046875,134.08416748046875,134.08416748046875
58,226.99879455566406,226.99879455566406,226.99879455566406
59,152.2342529296875,152.2342529296875,152.2342529296875
60,316.3037109,316.3037109,316.3037109
61,65.27043151855469,65.27043151855469,65.27043151855469
62,57.65896224975586,57.65896224975586,57.65896224975586
63,144.28753662109375,144.28753662109375,144.28753662109375
64,49.18565368652344,49.18565368652344,49.18565368652344
65,54.283992767333984,54.283992767333984,54.283992767333984
66,237.23463439941406,237.23463439941406,237.23463439941406
67,403.17315673828125,403.17315673828125,403.17315673828125
68,41.584068298339844,41.584068298339844,41.584068298339844
69,112.03434753417969,112.03434753417969,112.03434753417969
70,202.0256805419922,202.0256805419922,202.0256805419922
71,69.05799865722656,69.05799865722656,69.05799865722656
72,130.9848175048828,130.9848175048828,130.9848175048828
73,321.3649597167969,321.3649597167969,321.3649597167969
74,112.55628204345703,112.55628204345703,112.55628204345703
75,33.66756057739258,33.66756057739258,33.66756057739258
76,163.4634552001953,163.4634552001953,163.4634552001953
77,263.8824462890625,263.8824462890625,263.8824462890625
78,123.17008972167969,123.17008972167969,123.17008972167969
79,71.47277069091797,71.47277069091797,71.47277069091797
80,394.4804992675781,394.4804992675781,394.4804992675781
81,117.10127258300781,117.10127258300781,117.10127258300781
82,388.8761901855469,388.8761901855469,388.8761901855469
83,25.221393585205078,25.221393585205078,25.221393585205078
84,41.6075325012207,41.6075325012207,41.6075325012207
85,90.58665466308594,90.58665466308594,90.58665466308594
86,136.12924194335938,136.12924194335938,136.12924194335938
