Step,long_run - actor/grad_norm,long_run - actor/grad_norm__MIN,long_run - actor/grad_norm__MAX
1,26.186180114746094,26.186180114746094,26.186180114746094
2,26.11684226989746,26.11684226989746,26.11684226989746
3,19.464086532592773,19.464086532592773,19.464086532592773
4,10.576323509216309,10.576323509216309,10.576323509216309
5,13.397621154785156,13.397621154785156,13.397621154785156
6,10.887771606445312,10.887771606445312,10.887771606445312
7,7.732397079467773,7.732397079467773,7.732397079467773
8,5.6276421546936035,5.6276421546936035,5.6276421546936035
9,4.764727592468262,4.764727592468262,4.764727592468262
10,8.571221351623535,8.571221351623535,8.571221351623535
11,11.644908905029297,11.644908905029297,11.644908905029297
12,26.06275177001953,26.06275177001953,26.06275177001953
13,15.319380760192871,15.319380760192871,15.319380760192871
14,30.5789737701416,30.5789737701416,30.5789737701416
15,36.79612350463867,36.79612350463867,36.79612350463867
16,11.604915618896484,11.604915618896484,11.604915618896484
17,13.592470169067383,13.592470169067383,13.592470169067383
18,8.847131729125977,8.847131729125977,8.847131729125977
19,6.670497417449951,6.670497417449951,6.670497417449951
20,10.687042236328125,10.687042236328125,10.687042236328125
21,11.34986686706543,11.34986686706543,11.34986686706543
22,15.391559600830078,15.391559600830078,15.391559600830078
23,7.751903057098389,7.751903057098389,7.751903057098389
24,39.610233306884766,39.610233306884766,39.610233306884766
25,36.11951446533203,36.11951446533203,36.11951446533203
26,16.08063316345215,16.08063316345215,16.08063316345215
27,9.508515357971191,9.508515357971191,9.508515357971191
28,10.908584594726562,10.908584594726562,10.908584594726562
29,13.268834114074707,13.268834114074707,13.268834114074707
30,12.940646171569824,12.940646171569824,12.940646171569824
31,9.247965812683105,9.247965812683105,9.247965812683105
32,7.991852283477783,7.991852283477783,7.991852283477783
33,19.72178077697754,19.72178077697754,19.72178077697754
34,55.10340118408203,55.10340118408203,55.10340118408203
35,10.389044761657715,10.389044761657715,10.389044761657715
36,38.61902618408203,38.61902618408203,38.61902618408203
37,18.319948196411133,18.319948196411133,18.319948196411133
38,19.81285285949707,19.81285285949707,19.81285285949707
39,33.26968765258789,33.26968765258789,33.26968765258789
40,19.214765548706055,19.214765548706055,19.214765548706055
41,23.975435256958008,23.975435256958008,23.975435256958008
42,77.65424346923828,77.65424346923828,77.65424346923828
43,31.298280715942383,31.298280715942383,31.298280715942383
44,27.28258514404297,27.28258514404297,27.28258514404297
45,12.503622055053711,12.503622055053711,12.503622055053711
46,11.500999450683594,11.500999450683594,11.500999450683594
47,11.13757610321045,11.13757610321045,11.13757610321045
48,11.390091896057129,11.390091896057129,11.390091896057129
49,9.506330490112305,9.506330490112305,9.506330490112305
50,42.84611892700195,42.84611892700195,42.84611892700195
51,23.72987174987793,23.72987174987793,23.72987174987793
52,10.854781150817871,10.854781150817871,10.854781150817871
53,6.63814115524292,6.63814115524292,6.63814115524292
54,16.824081420898438,16.824081420898438,16.824081420898438
55,8.833006858825684,8.833006858825684,8.833006858825684
56,11.594266891479492,11.594266891479492,11.594266891479492
57,8.93648910522461,8.93648910522461,8.93648910522461
58,11.715371131896973,11.715371131896973,11.715371131896973
59,11.803377151489258,11.803377151489258,11.803377151489258
60,26.29719352722168,26.29719352722168,26.29719352722168
61,2.0114259719848633,2.0114259719848633,2.0114259719848633
62,4.036255836486816,4.036255836486816,4.036255836486816
63,8.556864738464355,8.556864738464355,8.556864738464355
64,3.992172956466675,3.992172956466675,3.992172956466675
65,6.488664150238037,6.488664150238037,6.488664150238037
66,11.111959457397461,11.111959457397461,11.111959457397461
67,29.032703399658203,29.032703399658203,29.032703399658203
68,3.991443395614624,3.991443395614624,3.991443395614624
69,10.84174633026123,10.84174633026123,10.84174633026123
70,9.471565246582031,9.471565246582031,9.471565246582031
71,4.430574417114258,4.430574417114258,4.430574417114258
72,12.064826011657715,12.064826011657715,12.064826011657715
73,5.945772647857666,5.945772647857666,5.945772647857666
74,8.997303009033203,8.997303009033203,8.997303009033203
75,2.7146592140197754,2.7146592140197754,2.7146592140197754
76,6.371506214141846,6.371506214141846,6.371506214141846
77,2.784421920776367,2.784421920776367,2.784421920776367
78,15.330341339111328,15.330341339111328,15.330341339111328
79,4.16851806640625,4.16851806640625,4.16851806640625
80,7.515174865722656,7.515174865722656,7.515174865722656
81,5.546258926391602,5.546258926391602,5.546258926391602
82,6.364659309387207,6.364659309387207,6.364659309387207
83,13.06314754486084,13.06314754486084,13.06314754486084
84,3.1078522205352783,3.1078522205352783,3.1078522205352783
85,4.492733478546143,4.492733478546143,4.492733478546143
86,10.452637672424316,10.452637672424316,10.452637672424316
